objectid,comunidad,provincia,nombre,grado_ocupacion,paseo_maritimo,nudismo,acceso_disc,Autobús,aparcamiento,aseos,lavapies,duchas,telefonos,papelera,oficina_tur,zona_infantil,zona_deportiva,club_nautico,submarino,zona_surf
1,Andalucía,Málaga,La Venus,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,Andalucía,Málaga,Las Cañas,Medio,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
3,Andalucía,Málaga,Calahonda,Medio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,Andalucía,Málaga,El Charcón,Bajo,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,Comunitat Valenciana,Alicante/Alacant,L'Espigó,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,Galicia,Pontevedra,Canabal,Medio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,Andalucía,Huelva,Urbasur,Medio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,Galicia,Pontevedra,Santo Tomé,Medio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,Andalucía,Almería,Las Amoladeras,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,Andalucía,Almería,Las Olas,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,Andalucía,Almería,Las Salinas de Cabo de Gata,Medio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,Andalucía,Almería,Nueva Almería,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,Andalucía,Almería,Retamar,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,Andalucía,Almería,Zapillo,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,Andalucía,Almería,San Miguel de Cabo de Gata,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,Andalucía,Almería,San Telmo,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,Andalucía,Almería,Torregarcía,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,Andalucía,Almería,Balanegra,Medio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,Andalucía,Almería,El Algarrobico,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,Andalucía,Almería,El Ancón,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,Andalucía,Almería,La Galera,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,Andalucía,Almería,Las Marinicas,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,Andalucía,Málaga,Las Doradas,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,Andalucía,Málaga,Calahonda,Medio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,Andalucía,Málaga,El Ejido,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,Canarias,Santa Cruz de Tenerife,El Puertito,Alto,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
27,Cataluña,Girona,Platja de la Cadena,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,Galicia,A Coruña,O Salto,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,Andalucía,Almería,Fábrica del Duro,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,Andalucía,Almería,Peñón Cortado,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,Andalucía,Almería,Pozo del Esparto,Medio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,Andalucía,Almería,Quitapellejos,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,Cataluña,Barcelona,Sant Vicenç de Montalt,Medio,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
34,Cataluña,Barcelona,Platja de les Dunes,Medio,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
35,Andalucía,Almería,Cala Cerrada,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,Andalucía,Almería,Cala Cuartel,Medio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,Andalucía,Almería,Cala de la Tía Antonia,Medio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,Andalucía,Almería,Calipso,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,País Vasco,Bizkaia,Kanala,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,Andalucía,Huelva,Santa Pura,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,Andalucía,Huelva,Casita Azul,Medio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,Andalucía,Huelva,Gaviota,Medio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,Andalucía,Huelva,Del Hoyo,Medio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,Andalucía,Huelva,Icona,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,Andalucía,Huelva,Islantilla,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46,Andalucía,Huelva,Central,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,Galicia,Pontevedra,Virxe das Mareas,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48,Andalucía,Almería,La Habana,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49,Andalucía,Almería,La Juana,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,Andalucía,Almería,Playa de Poniente,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51,Andalucía,Almería,San Nicolás,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
52,Andalucía,Almería,Costacabana,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53,Andalucía,Almería,El Bobar,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54,Andalucía,Almería,El Perdigal,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,Andalucía,Almería,El Toyo,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
56,Andalucía,Almería,La Almadraba de Monteleva,Medio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57,Andalucía,Almería,La Fabriquilla,Medio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58,Andalucía,Almería,La Garrofa,Medio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59,Cataluña,Barcelona,Bellamar,Alto,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
60,Cataluña,Barcelona,Platja de Llevant,Medio,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
61,Cataluña,Barcelona,Platja del Litoral,Alto,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
62,Cataluña,Barcelona,L'Estació,Alto,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
63,Andalucía,Cádiz,La Victoria,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
64,Andalucía,Cádiz,Santa María del Mar,Medio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65,Andalucía,Almería,Los Barquicos,Medio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
66,Andalucía,Almería,Cala Junco,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67,Andalucía,Almería,Censo,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
68,Andalucía,Almería,El Lance de la Virgen,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
69,Andalucía,Almería,Guainos,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70,Andalucía,Almería,La Alcazaba,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
71,Andalucía,Almería,La Caracola,Medio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,Andalucía,Almería,La Gaviota,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73,Andalucía,Almería,Los Muertos,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,Andalucía,Almería,Cabezo Negro,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75,Andalucía,Almería,Cala Cristal,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
76,Andalucía,Almería,Cala de la Dolores,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
77,Andalucía,Almería,Cala Invencible,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
78,Andalucía,Almería,Cala Panizo,Medio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
79,Andalucía,Almería,El Calón,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80,Andalucía,Almería,Embarcadero Viejo,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,Andalucía,Almería,Villaricos,Medio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
82,Andalucía,Almería,Levante Almerimar,Medio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
83,Andalucía,Almería,Poniente Almerimar,Medio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
84,Andalucía,Almería,Balerma,Medio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
85,Comunitat Valenciana,Castellón/Castelló,Playa Casablanca,Medio,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
86,Andalucía,Almería,Cerrillos,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
87,Andalucía,Almería,Los Baños,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
88,Andalucía,Almería,Piedra del Moro,Medio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89,Andalucía,Almería,El Palmer,Medio,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
90,Andalucía,Almería,Garrucha,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
91,Andalucía,Granada,Curumbico,Medio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
92,Andalucía,Granada,El Muerto,Medio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
93,Andalucía,Granada,La Herradura,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
94,Andalucía,Granada,Los Berengueles,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
95,Andalucía,Granada,Pozuelo,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
96,Andalucía,Granada,Puerta del Mar,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
97,Andalucía,Granada,San Cristóbal,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
98,Andalucía,Granada,Tesorillo,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
99,Andalucía,Granada,Velilla,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,Andalucía,Granada,La Rijana,Medio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101,Andalucía,Granada,Castell de Ferro,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102,Andalucía,Granada,Cambriles,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
103,Andalucía,Granada,Azucenas,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
104,Andalucía,Granada,Calahonda,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
105,Cataluña,Barcelona,El Varador,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
106,Cataluña,Barcelona,El Callao,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
107,Cataluña,Barcelona,Sant Simó,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
108,Cataluña,Barcelona,Les Moreres,Medio,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
109,Cataluña,Barcelona,Sant Joan,Medio,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
110,Cataluña,Barcelona,Pla de Montgat,Medio,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
111,Cataluña,Barcelona,Playa del Pins,Alto,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
112,Cataluña,Barcelona,Platja de Ponent,Bajo,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
113,Cataluña,Barcelona,La Descàrrega,Bajo,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
114,Cataluña,Barcelona,Pla de l'Os,Alto,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
115,Cataluña,Barcelona,Les Barques,Alto,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
116,Cataluña,Barcelona,El Balís,Bajo,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
117,Cataluña,Barcelona,Roques Blanques,Medio,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
118,Cataluña,Barcelona,La Murtra,Medio,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
119,Cataluña,Barcelona,Can Villar,Medio,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
120,Cataluña,Barcelona,Platja de les Barques,Alto,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
121,Cataluña,Barcelona,Les Escaletes,Medio,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
122,Cataluña,Barcelona,La Platjola,Alto,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
